customer_id,age,gender,location,tenure_months,contract_type,monthly_recharge,data_usage_gb,call_minutes,num_services,num_complaints,support_calls,payment_method,paperless_billing,sentiment_score,churn
CUST00000,56,Male,Rural,33,Month-to-Month,54.65,1.08,471.0,1,1,1,Credit Card,1,-0.119,0
CUST00001,69,Male,Urban,60,One Year,47.0,2.21,490.0,1,0,1,Bank Transfer,0,-0.067,0
CUST00002,46,Female,Suburban,24,Month-to-Month,48.51,1.34,84.0,1,0,5,E-Wallet,1,-0.33,1
CUST00003,32,Female,Urban,37,One Year,59.01,4.83,384.0,5,0,0,E-Wallet,1,0.807,0
CUST00004,60,Male,Urban,25,Month-to-Month,76.24,3.09,3.0,2,1,2,E-Wallet,1,-0.099,0
CUST00005,25,Female,Urban,32,Two Year,84.58,6.91,113.0,1,1,1,E-Wallet,1,-0.783,0
CUST00006,38,Female,Rural,7,Month-to-Month,68.22,5.16,214.0,3,0,1,Bank Transfer,1,0.247,1
CUST00007,56,Female,Urban,10,Month-to-Month,100.41,0.55,335.0,2,1,2,E-Wallet,1,-0.216,1
CUST00008,36,Female,Suburban,31,Month-to-Month,67.94,0.53,166.0,2,4,5,Bank Transfer,1,-0.868,1
CUST00009,40,Male,Urban,19,Month-to-Month,20.11,9.04,286.0,5,0,0,Credit Card,0,0.073,0
CUST00010,28,Male,Urban,18,Month-to-Month,36.14,6.85,494.0,4,1,3,Bank Transfer,1,0.415,0
CUST00011,28,Male,Urban,6,Month-to-Month,82.5,2.52,383.0,2,2,1,Credit Card,1,-0.311,1
CUST00012,41,Female,Suburban,16,Two Year,56.87,0.56,516.0,2,0,0,Bank Transfer,1,0.216,0
CUST00013,70,Female,Urban,69,One Year,55.16,9.15,126.0,1,0,1,E-Wallet,0,0.124,0
CUST00014,53,Female,Urban,6,One Year,40.89,1.05,432.0,3,1,2,E-Wallet,0,0.139,0
CUST00015,57,Female,Urban,34,Month-to-Month,54.99,0.14,85.0,1,1,2,Credit Card,1,0.108,0
CUST00016,41,Female,Urban,16,One Year,55.36,10.32,597.0,3,0,2,Credit Card,0,0.044,0
CUST00017,20,Male,Rural,17,Month-to-Month,77.26,6.62,535.0,2,1,2,Bank Transfer,1,-0.04,0
CUST00018,39,Female,Rural,45,One Year,58.88,4.73,44.0,3,2,0,Credit Card,1,-0.301,0
CUST00019,70,Female,Urban,23,Month-to-Month,96.91,0.14,289.0,1,0,2,E-Wallet,0,0.54,1
CUST00020,19,Male,Suburban,9,Month-to-Month,48.63,3.01,234.0,1,1,0,Credit Card,1,-0.466,0
CUST00021,41,Female,Rural,6,Month-to-Month,70.11,4.24,156.0,4,0,0,E-Wallet,0,0.164,1
CUST00022,61,Male,Urban,10,Two Year,23.61,,405.0,5,1,1,Bank Transfer,0,-0.078,0
CUST00023,47,Male,Suburban,9,Month-to-Month,81.47,2.55,504.0,4,0,0,Credit Card,1,0.858,0
